	x		sin(x)		sin'(x)
      0.00	      0.00	      1.00
      0.01	      0.01	      1.00
      0.02	      0.02	      1.00
      0.03	      0.03	      1.00
      0.04	      0.04	      1.00
      0.05	      0.05	      1.00
      0.06	      0.06	      1.00
      0.07	      0.07	      1.00
      0.08	      0.08	      1.00
      0.09	      0.09	      1.00
      0.10	      0.10	      0.99
      0.11	      0.11	      0.99
      0.12	      0.12	      0.99
      0.13	      0.13	      0.99
      0.14	      0.14	      0.99
      0.15	      0.15	      0.99
      0.16	      0.16	      0.99
      0.17	      0.17	      0.98
      0.18	      0.18	      0.98
      0.19	      0.19	      0.98
      0.20	      0.20	      0.98
      0.21	      0.21	      0.98
      0.22	      0.22	      0.97
      0.23	      0.23	      0.97
      0.24	      0.24	      0.97
      0.25	      0.25	      0.97
      0.26	      0.26	      0.97
      0.27	      0.27	      0.96
      0.28	      0.28	      0.96
      0.29	      0.29	      0.96
      0.30	      0.30	      0.95
      0.31	      0.31	      0.95
      0.32	      0.31	      0.95
      0.33	      0.32	      0.94
      0.34	      0.33	      0.94
      0.35	      0.34	      0.94
      0.36	      0.35	      0.93
      0.37	      0.36	      0.93
      0.38	      0.37	      0.93
      0.39	      0.38	      0.92
      0.40	      0.39	      0.92
      0.41	      0.40	      0.92
      0.42	      0.41	      0.91
      0.43	      0.42	      0.91
      0.44	      0.43	      0.90
      0.45	      0.43	      0.90
      0.46	      0.44	      0.89
      0.47	      0.45	      0.89
      0.48	      0.46	      0.88
      0.49	      0.47	      0.88
      0.50	      0.48	      0.88
      0.51	      0.49	      0.87
      0.52	      0.50	      0.87
      0.53	      0.51	      0.86
      0.54	      0.51	      0.86
      0.55	      0.52	      0.85
      0.56	      0.53	      0.84
      0.57	      0.54	      0.84
      0.58	      0.55	      0.83
      0.59	      0.56	      0.83
      0.60	      0.56	      0.82
      0.61	      0.57	      0.82
      0.62	      0.58	      0.81
      0.63	      0.59	      0.81
      0.64	      0.60	      0.80
      0.65	      0.61	      0.79
      0.66	      0.61	      0.79
      0.67	      0.62	      0.78
      0.68	      0.63	      0.77
      0.69	      0.64	      0.77
      0.70	      0.64	      0.76
      0.71	      0.65	      0.76
      0.72	      0.66	      0.75
      0.73	      0.67	      0.74
      0.74	      0.67	      0.74
      0.75	      0.68	      0.73
      0.76	      0.69	      0.72
      0.77	      0.70	      0.71
      0.78	      0.70	      0.71
      0.79	      0.71	      0.70
      0.80	      0.72	      0.69
      0.81	      0.72	      0.69
      0.82	      0.73	      0.68
